# the selected AGNs
plateifu ra dec z psf mangaid BPT_x BPT_y EW_Ha is_limit 
7495-1902 205.044768573 26.8410410581 0.0318073 2.32172 12-129608 -0.4973815679550171 0.6928966641426086 4.420556545257568 0 
7815-6104 319.193098655 11.0437407875 0.0806967 2.41211 1-113712 -0.02724679559469223 0.9437929391860962 67.94667053222656 0 
7991-6104 258.82741019 57.6587701679 0.0282021 2.40403 1-24148 0.24612046778202057 0.9998576045036316 6.402730941772461 0 
7991-3702 258.158751804 57.3224214281 0.0266298 2.40132 1-23979 -0.1974760890007019 0.48036736249923706 7.471930503845215 0 
8132-6101 111.733682055 41.0266910782 0.129403 2.56687 1-548024 0.011828593909740448 0.45970213413238525 9.715927124023438 0 
8247-6101 136.089598316 41.4817290009 0.0244671 2.72452 1-217022 -0.07647348195314407 0.16736549139022827 4.167516708374023 0 
8137-3702 115.368719754 44.4087940076 0.131997 3.00699 1-574402 0.08660963177680969 0.7973477840423584 15.797001838684082 0 
8141-1901 117.472421015 45.2484834965 0.0312591 2.61066 1-339094 -0.10413727909326553 0.7883757948875427 7.8163628578186035 0 
8143-6101 121.014200537 40.8026129505 0.126168 2.52275 1-72322 0.21074362099170685 0.8291414380073547 11.541183471679688 0 
8256-12704 166.129407835 42.6245544187 0.12611 2.43221 1-558912 0.044415879994630814 0.7398247718811035 19.089181900024414 0 
8249-3704 137.874763008 45.4683204593 0.0268253 2.51697 1-137883 -0.11316125839948654 0.7309938669204712 8.306211471557617 0 
8319-12705 202.128436403 47.7140384144 0.0607597 2.54402 1-234618 -0.14404118061065674 0.5496507287025452 5.759660720825195 0 
8341-12704 189.213252539 45.6511702678 0.030345 2.55976 1-620993 -0.016470197588205338 0.5979251861572266 16.312923431396484 0 
8439-6104 143.510354813 50.0274859311 0.0378229 2.46601 1-585632 -0.07177995890378952 0.23762798309326172 7.1702375411987305 0 
8452-1901 155.88555557 46.0577547418 0.0257723 2.52096 1-167688 -0.11601421236991882 0.8819711804389954 4.487766742706299 0 
8483-12703 245.248313831 49.0017772161 0.0582143 2.41936 1-542318 0.08796527981758118 0.6235554218292236 5.497768878936768 0 
8482-12704 243.581821279 50.4656106608 0.0602584 2.44433 1-92866 0.0962260290980339 0.5879218578338623 6.051585674285889 0 
8549-12701 240.470870972 45.351940155 0.0420468 2.35827 1-209980 -0.004744889680296183 0.6617068648338318 11.33834457397461 0 
8465-12704 198.141842919 48.3666138423 0.0558079 2.41655 1-576537 -0.15401531755924225 0.6271420121192932 9.153340339660645 0 
8552-12701 226.431661417 44.4049023746 0.0283402 2.58567 1-321739 -0.1358843743801117 0.5839118361473083 5.1755475997924805 0 
8552-9102 229.308914218 44.0180313812 0.12226 2.57093 1-322113 0.005720952525734901 0.13653449714183807 4.200837135314941 0 
8318-3704 197.891833505 44.9330782011 0.0247632 2.37959 1-575704 -0.03844360262155533 0.744178295135498 6.462545871734619 0 
8318-6102 197.239319048 45.9054469821 0.12908 2.35119 1-284293 0.019947553053498268 0.15312010049819946 43.32499694824219 0 
8464-6101 186.180996627 44.4107711556 0.125582 2.47715 1-258599 -0.23159979283809662 0.6001293063163757 47.40363693237305 0 
8320-3704 206.612456043 22.0767419456 0.0275673 2.3834 1-519742 -0.16404056549072266 0.7984359860420227 7.897058010101318 0 
8550-3704 248.426385752 39.1851196817 0.0298414 2.50113 1-211311 0.27721258997917175 0.7322698831558228 5.779171466827393 0 
8606-12701 255.029869751 37.8395021377 0.0633343 2.57689 1-95585 0.20819202065467834 0.6908528208732605 3.8954577445983887 0 
8314-3704 243.155037322 39.4190235377 0.0321959 2.37182 1-248618 0.05300155654549599 0.01315190177410841 4.466799259185791 0 
8611-3704 262.996722074 59.9716380852 0.0291196 2.53916 1-25725 -0.16077691316604614 0.36156171560287476 5.223994255065918 0 
7992-9102 254.542083999 62.4156479613 0.119399 2.54267 1-22948 0.2000146210193634 1.034364938735962 10.328418731689453 0 
8603-6101 247.159333462 39.551266027 0.0311758 2.62147 1-594493 0.27068066596984863 0.15741531550884247 5.641773223876953 0 
8612-12704 254.564574769 39.3914635326 0.0343116 2.52342 1-96151 0.02257278561592102 1.0148389339447021 28.94608497619629 0 
8588-12704 249.557305714 40.1468209363 0.030363 2.50844 1-135641 0.024408282712101936 0.8000089526176453 6.7057695388793945 0 
8602-12701 247.048170623 39.8218982679 0.0267882 2.54271 1-569169 0.24309754371643066 0.3913421928882599 7.282955169677734 0 
8077-6103 39.4465871047 0.405085157798 0.0473019 2.59073 1-109056 -0.1136409193277359 0.47681546211242676 11.547466278076172 0 
8147-6102 118.627843459 25.8159864765 0.0631476 2.67139 1-163831 0.14827649295330048 0.25959599018096924 5.164241790771484 0 
8146-12705 118.053214402 28.7725795647 0.0636542 2.45563 1-201561 0.2430645078420639 0.46869224309921265 3.7311339378356934 0 
8084-6103 50.7416763778 0.0541373977095 0.035737 2.52596 1-38007 -0.011416549794375896 0.14795200526714325 5.919897079467773 0 
8718-12702 120.700706482 45.0345535278 0.038928 2.49452 1-44379 0.05052219703793526 0.8191697597503662 11.14848804473877 0 
8718-12701 119.182151794 44.8567085266 0.04992 2.45449 1-44303 -0.043922875076532364 0.7072136998176575 10.250120162963867 0 
8725-9102 127.178093813 45.7425550277 0.049053 2.62711 1-574519 -0.1971065253019333 0.6252843141555786 21.122941970825195 0 
10001-6102 132.653991697 57.3596675436 0.0261046 2.59014 1-48116 -0.0801580473780632 0.5227054357528687 11.707406044006348 0 
8715-3702 119.920672417 50.8399725276 0.0543641 2.60344 1-604907 0.10421536862850189 1.1998053789138794 106.40979766845703 0 
8255-6101 166.509879371 43.1734726281 0.0584258 2.66347 1-256446 0.020889144390821457 0.4936271011829376 6.786380290985107 0 
8241-9102 127.170800449 17.5814003238 0.0665263 2.43708 1-460812 -0.05821198970079422 0.6225409507751465 8.126543045043945 0 
8241-6102 126.059633434 17.3319505175 0.0372518 2.5234 1-460288 -0.05297830328345299 0.8161821961402893 28.67827606201172 0 
8720-1901 121.14792839 50.7085561945 0.0227214 2.43098 1-351790 -0.30534687638282776 1.0038772821426392 5.478970050811768 0 
8547-12701 217.629970676 52.7071590288 0.0448811 2.55003 1-593159 -0.11931637674570084 0.33671835064888 17.200183868408203 0 
8978-12705 249.558610758 41.9388102427 0.0286035 2.4238 1-569095 -0.02928626723587513 0.1737569123506546 9.483480453491211 0 
8978-6102 249.371986141 40.8799473806 0.0263847 2.44116 1-135668 -0.0301945973187685 0.12253039330244064 3.911783456802368 0 
8978-9101 247.907995888 41.4936431012 0.0303346 2.51142 1-135044 0.16784578561782837 0.353366494178772 5.574233055114746 0 
8979-6102 241.823389178 41.4036042555 0.0346392 2.27827 1-248420 0.05700955539941788 0.6071786880493164 3.9503941535949707 0 
8948-12704 167.306019605 49.5194324004 0.0724271 2.41567 1-173958 -0.03897208720445633 0.2707683742046356 16.481964111328125 0 
8946-3701 168.957726925 46.3195644483 0.0532814 2.40492 1-279147 -0.10046941041946411 0.5139692425727844 6.611906051635742 0 
8947-3701 168.947799683 50.4016342163 0.0473068 2.33624 1-149211 -0.3817812204360962 0.8758371472358704 15.905261993408203 0 
8945-3703 173.911233586 47.5155197298 0.045503 2.65837 1-279666 -0.012895400635898113 0.4446384310722351 3.5723650455474854 0 
8597-3703 224.749646935 48.4098554221 0.0358627 2.48463 1-198182 0.07436183094978333 0.2094748467206955 5.2770233154296875 0 
9026-9101 249.318419223 44.4182296144 0.0314197 2.56207 1-94784 0.20242807269096375 0.8987283706665039 5.398504257202148 0 
9049-1901 247.560972961 26.2064735616 0.131457 2.47064 1-269632 -0.053313739597797394 0.37927231192588806 22.595840454101562 0 
9002-12702 222.810069402 30.6922457183 0.0547198 2.46762 1-373161 0.411395400762558 0.4996691346168518 3.563445568084717 0 
9031-1902 241.029075186 44.5497654429 0.0429606 2.67561 1-209707 -0.22773435711860657 0.6301547288894653 13.178314208984375 0 
9027-12704 245.346646891 32.3490136493 0.034659 2.38217 1-323794 -0.1703999638557434 0.6951252222061157 31.514328002929688 0 
8982-3703 203.190093994 26.5803756714 0.0470053 2.43487 1-458092 -0.30965355038642883 0.8785600662231445 57.37700271606445 0 
7972-6103 315.831306013 10.944169029 0.0431534 2.5537 1-113368 -0.01980385184288025 0.1321115344762802 6.758048057556152 0 
9025-12704 246.050763599 30.162261411 0.0482447 2.46462 1-633942 0.19469918310642242 0.7361529469490051 4.230966567993164 0 
7958-9101 258.495841161 33.6071374989 0.0386619 2.4441 1-547402 -0.30635422468185425 0.6755080223083496 19.849151611328125 0 
9195-3703 29.0522287022 14.9066391304 0.026913 2.5846 1-603039 -0.09982984513044357 0.385639488697052 40.44059753417969 0 
8080-12703 49.4878008228 -0.16910058475 0.0227967 2.60325 1-604022 0.20801609754562378 0.3076004683971405 3.2739388942718506 0 
9182-6102 119.486337418 39.9933651629 0.0657771 2.36053 1-71987 -0.022471487522125244 0.8854150772094727 10.09919261932373 0 
9193-12701 45.954624176 -1.10374999046 0.0136253 2.47221 1-37440 -0.258597731590271 0.956967294216156 7.276892185211182 0 
8940-12702 120.087417603 26.613527298 0.0267379 2.56119 1-163966 0.04506829380989075 0.9532091021537781 10.017724990844727 0 
9183-3703 121.920806254 39.0042388809 0.0233453 2.72745 1-122304 0.01493622176349163 0.4552878141403198 23.226871490478516 0 
8993-12705 165.391530621 45.6538679753 0.0294089 2.53351 1-277279 0.018030628561973572 1.0741856098175049 32.30199432373047 0 
8992-3702 171.657261919 51.5730412626 0.0264158 2.67982 1-149561 -0.08799675852060318 0.5766578316688538 10.043476104736328 0 
9485-12705 121.779937488 36.2334785413 0.0323135 2.47838 1-153627 -0.1444014310836792 0.836245059967041 10.240180969238281 0 
9487-3702 123.330544326 46.1471565611 0.053819 2.4188 1-574506 0.05688254535198212 0.9134247899055481 6.14148473739624 0 
8989-3703 177.440360191 50.5270164143 0.026442 2.44519 1-617323 -0.000684938975609839 0.9820796847343445 5.76405143737793 0 
8984-9102 203.850240471 27.9118899255 0.0268301 2.37785 1-626669 -0.08145277947187424 0.2132396101951599 8.637345314025879 0 
8983-12701 203.830208122 26.424780837 0.0253738 2.57557 1-626658 0.018685584887862206 0.7115734815597534 7.206549644470215 0 
8311-6104 205.282730985 23.2820554311 0.0263526 2.70306 1-568584 0.08320791274309158 0.5315803289413452 33.89043045043945 0 
8309-12701 208.289083232 51.8125009315 0.067572 2.45696 1-196597 0.009312661364674568 0.6733739376068115 4.389041423797607 0 
9507-12704 129.600036621 25.7545013428 0.0181814 2.49924 1-605367 -0.02302512153983116 0.14257298409938812 12.17324447631836 0 
9507-12705 129.520694425 25.3295052986 0.0281762 2.49739 1-585206 -0.03895074129104614 1.034362554550171 7.286159038543701 0 
9508-12704 127.105953892 26.3973701601 0.0808831 2.28653 1-298938 -0.07592866569757462 0.3649180233478546 13.714038848876953 0 
9508-3704 127.107818258 25.0146350066 0.0287366 2.37734 1-298778 0.17055563628673553 1.016778826713562 3.9591660499572754 0 
9024-12705 223.867459205 32.8400281225 0.0601609 2.38989 1-314409 0.08526986837387085 0.1874902844429016 15.435991287231445 0 
9488-3702 126.216410759 20.9912164628 0.0228872 2.35641 1-384124 -0.031927574425935745 0.6276203393936157 3.616621494293213 0 
9502-9101 128.341931149 25.1049253208 0.0866 2.41123 1-605311 -0.002826173324137926 0.2275116741657257 5.487827777862549 0 
9502-12703 129.545574407 24.8952945876 0.0286559 2.46045 1-385099 0.25950804352760315 1.0021294355392456 20.26464080810547 0 
9511-12704 129.312117485 4.69587606312 0.0469711 2.43713 1-605353 0.1341409981250763 0.9114198684692383 3.6093504428863525 0 
9511-6104 129.362363348 3.95569024062 0.0470113 2.4636 1-213402 -0.05760945379734039 0.3635903596878052 5.193551063537598 0 
8990-12705 173.537567139 49.2545623779 0.037232 2.32715 1-174631 -0.2931048274040222 0.9663463234901428 14.228985786437988 0 
8990-9101 173.933151315 49.0376492526 0.0296172 2.37342 1-174390 -0.0330486036837101 0.31335264444351196 5.251031875610352 0 
8442-9102 200.222837131 32.1907607473 0.0230284 2.49489 1-625513 -0.1346644014120102 0.7432680130004883 14.098350524902344 0 
9048-1902 246.255977023 24.2631556488 0.0503021 2.54555 1-295542 -0.17143487930297852 0.40291276574134827 36.23548126220703 0 
9095-12701 241.913639345 23.4168660273 0.0874596 2.35767 1-376413 -0.06301034241914749 0.31625011563301086 7.818885326385498 0 
9196-12703 262.399282723 54.4944236725 0.0818576 2.5834 1-24660 0.013344379141926765 0.516880989074707 12.698629379272461 0 
9881-1901 204.806912689 24.8930759381 0.0282062 2.5257 1-458316 -0.14700613915920258 0.3904067277908325 7.051751136779785 0 
9883-12701 255.523308836 31.7974291468 0.0650401 2.41382 1-176644 0.10323768854141235 0.7909737825393677 7.141215801239014 0 
9888-12701 235.475823161 28.1339793885 0.0332197 2.56082 1-593975 0.22113700211048126 0.5818952918052673 5.167470932006836 0 
9893-6102 256.196768812 24.5839926939 0.0425203 2.51742 1-325918 0.1998944878578186 0.06127648055553436 3.873593807220459 0 
8656-12705 7.38700089483 -1.09569961487 0.0585413 2.44515 1-287790 0.014473787508904934 0.28216710686683655 6.3889994621276855 0 
8656-12702 7.0855527162 -0.217869311786 0.0612581 2.49297 1-287810 0.048319295048713684 0.1412138044834137 5.855441093444824 0 
9498-3703 120.016894298 23.4378486088 0.0291978 2.7057 1-556749 -0.11620378494262695 0.6022719740867615 10.083037376403809 0 
10216-3704 117.23952599 17.5771207096 0.0286623 2.75079 1-382355 0.12940171360969543 0.4472607672214508 4.332463264465332 0 
10216-12704 118.16230011 18.3216056824 0.0449364 2.65164 1-382452 -0.11063612252473831 0.5745967626571655 17.311691284179688 0 
10218-1902 119.207582307 17.3803033794 0.0364051 2.34197 1-382697 -0.10818905383348465 0.33767470717430115 3.879528045654297 0 
10221-6104 124.698297548 24.5374298193 0.024877 2.59451 1-298693 0.20789456367492676 0.15641681849956512 5.0790276527404785 0 
9503-12701 119.972831726 23.390083313 0.029143 2.4695 1-229731 -0.0069212415255606174 0.6401610374450684 11.143160820007324 0 
9503-6102 120.9966842 23.7556666429 0.0293812 2.47129 1-229862 0.002915462013334036 0.9362778663635254 11.97661018371582 0 
9503-3704 121.037072209 24.5586109163 0.0438319 2.41343 1-229879 -0.0022007094230502844 0.139806866645813 5.631053924560547 0 
9499-12703 118.423230372 26.4926990562 0.0374233 2.92032 1-145679 0.07058051973581314 0.5590382218360901 4.624594211578369 0 
9499-6104 120.082381596 26.7014422452 0.0278268 2.90742 1-604912 -0.10044220089912415 0.43137094378471375 10.95632553100586 0 
9499-6101 118.071090698 25.6690807343 0.0453547 2.95547 1-163789 -0.005007745698094368 0.5095173120498657 5.671110153198242 0 
10215-1902 123.857378368 37.3405186037 0.0397304 2.24743 1-153901 -0.04800434783101082 0.2798514664173126 4.126770496368408 0 
9495-1901 122.938744486 23.4738282234 0.015734 2.46817 1-298498 -0.5098330974578857 0.6690221428871155 6.003872871398926 0 
8723-6104 130.407775879 54.9185714722 0.044562 2.29184 1-47409 -0.1499873250722885 0.7242285013198853 11.305400848388672 0 
9489-6104 126.084373358 20.5332420155 0.0199314 2.42359 1-605215 -0.0823071226477623 0.6465609073638916 9.053606033325195 0 
8998-12705 163.663838261 47.8622818036 0.0728894 2.64619 1-173641 -0.0838966816663742 0.7327083945274353 7.007608890533447 0 
8981-6104 187.419143703 36.1994168462 0.0717308 2.53824 1-403982 0.01117037981748581 0.8984008431434631 8.284870147705078 0 
8988-6102 186.251194401 40.1573118205 0.0735606 2.50953 1-397613 0.044474683701992035 0.15788963437080383 7.253046989440918 0 
10514-12705 144.62822 2.57328 0.0234383 2.51925 1-77704 -0.05981464684009552 0.9386114478111267 4.187067031860352 0 
10514-9102 145.151611328 3.57702112198 0.0164514 2.4439 1-585668 0.26438719034194946 0.9725198745727539 5.5656232833862305 0 
10510-12704 179.117267145 55.1252090259 0.00371352 2.53439 1-189584 0.0006921049789525568 1.0246117115020752 7.320066452026367 0 
10510-6103 177.778667165 55.0787174228 0.0194702 2.57304 1-617445 0.1047053188085556 0.3010419011116028 7.569044589996338 0 
10493-3704 126.015363581 51.9043309231 0.0314512 2.52134 1-46056 -0.1486857831478119 0.7950130105018616 18.224483489990234 0 
9884-3704 206.669999461 52.4768142281 0.0291777 2.46503 1-196637 -0.01711980439722538 0.8583405017852783 11.579916000366211 0 
10494-12701 126.358455793 53.9689342469 0.0641308 2.1781 1-352403 -0.14281225204467773 0.645822286605835 14.7688570022583 0 
10508-12703 184.652029473 51.4147324232 0.0471993 2.72098 1-175889 -0.09721162170171738 0.6014471650123596 15.919161796569824 0 
10508-6101 183.371989926 50.7415293109 0.0307574 2.76118 1-175865 0.23293998837471008 0.44244080781936646 4.304656982421875 0 
10492-12702 124.064089969 57.5305417333 0.0271824 2.75474 1-380097 -0.0887390524148941 0.469444215297699 10.34731674194336 0 
10492-6103 122.972980643 57.9518925517 0.0277501 2.74509 1-605069 -0.04362502694129944 0.7395054697990417 38.460289001464844 0 
9882-9102 207.608226059 23.4569337341 0.0557381 2.58866 1-537120 0.10865651816129684 0.902083694934845 5.94638729095459 0 
9882-3701 206.626565064 23.0971895713 0.0299905 2.60979 1-523031 -0.020079705864191055 0.11625202000141144 4.1204376220703125 0 
10503-12703 160.228870157 5.99188959885 0.0276125 2.47478 1-587259 0.027451861649751663 0.7083708643913269 16.76315689086914 0 
9091-3704 241.944668703 25.5375112697 0.0406597 2.35528 1-318148 -0.4936792850494385 0.8085405826568604 45.3594970703125 0 
9091-12703 240.044495718 27.6051401709 0.03303 2.42242 1-264729 -0.1842401772737503 0.5805040597915649 18.25806427001953 0 
8337-1901 214.096446764 38.190986148 0.134659 2.34943 1-261280 -0.0010515154572203755 0.9040730595588684 12.278858184814453 0 
9885-3703 241.152724187 23.6631835878 0.031032 2.33582 1-376346 -0.005485241767019033 0.6397103071212769 4.412324905395508 0 
8334-3703 213.23023003 39.3126522793 0.0250682 2.50461 1-261224 -0.09190371632575989 0.2946261763572693 5.2393293380737305 0 
8260-1901 182.253728403 42.4752568439 0.02364 2.35271 1-281125 -0.7003827095031738 0.7597162127494812 10.798558235168457 0 
9892-3703 248.383906756 24.9847216227 0.0594202 2.45993 1-295093 0.053928881883621216 1.0373167991638184 7.411608695983887 0 
8324-6104 198.958903853 46.3388300034 0.0573434 2.3924 1-575726 0.15617778897285461 0.3659123182296753 10.4651460647583 0 
8614-12703 258.118528764 35.8840862863 0.026418 2.63318 1-547191 -0.053840044885873795 0.8660155534744263 6.748176097869873 0 
8614-3703 257.001371126 36.344420816 0.0362362 2.61714 1-546819 0.21182005107402802 0.3242025375366211 6.4494948387146 0 
9092-1902 240.779507769 24.5239896368 0.0466923 2.32567 1-317962 -0.11784154176712036 0.2442050725221634 26.626249313354492 0 
9032-12701 240.475077822 31.8920616895 0.0449613 2.4707 1-268479 -0.10775978118181229 0.5016738176345825 11.93941593170166 0 
9032-12702 241.452769626 30.7170587416 0.0553885 2.42285 1-268786 0.1473226547241211 0.7283026576042175 12.310295104980469 0 
8593-12705 226.937460956 51.4528317589 0.0459164 2.75046 1-631871 0.32184451818466187 0.27429381012916565 20.087860107421875 0 
9090-9102 243.073393754 28.4295508705 0.0531379 2.62234 1-296801 -0.0970551073551178 0.27421605587005615 4.254507064819336 0 
9090-3701 241.71736145 27.9275417328 0.0460252 2.59767 1-296733 -0.059427034109830856 0.5807324051856995 12.614181518554688 0 
8651-1902 313.902141162 -0.636585786958 0.0535281 2.4777 1-635348 0.1735316962003708 1.080491304397583 4.37863302230835 0 
