# the excluded, use_AGN is True, use_composite is False
plateifu ra dec mangaid BPT_x BPT_y EW_Ha is_limit edge_on 
7443-1901 231.04260977 42.0687206283 12-84620 -0.541685938835144 -0.11292032897472382 27.07293701171875 0 0 
7443-3704 231.478756028 41.9097725983 12-84617 -0.7689694166183472 0.22390206158161163 27.00666618347168 0 0 
7443-3701 230.574377642 42.2870203576 12-193534 -0.7238098382949829 0.03705735504627228 18.437965393066406 0 0 
7443-12702 231.36070065 43.16989684 12-84674 -0.40097150206565857 -0.45858708024024963 7.023146152496338 0 0 
7443-6104 232.158068917 42.4420168074 12-84677 0.08599159121513367 0.5348649024963379 1.7687883377075195 0 0 
7443-12705 230.153021184 41.9604360155 12-84627 -0.41544896364212036 -0.6001104712486267 9.31944751739502 0 0 
7443-6103 230.233668012 42.7755414901 12-84665 -0.6282223463058472 -0.05433078482747078 28.78982925415039 0 0 
7443-6102 231.606701762 42.3540265659 12-180432 -0.4430314302444458 -0.7517234086990356 34.470481872558594 0 0 
7443-6101 231.577322945 41.2946303062 12-84726 -0.7010300159454346 0.039662234485149384 15.16952896118164 0 0 
7443-9101 229.246842913 42.5982571736 12-84660 -0.29431089758872986 -0.24944432079792023 20.7019100189209 0 0 
7443-12701 230.50746239 43.53234133 12-98126 0.2211015522480011 -0.23486419022083282 0.6455270051956177 0 0 
7443-12703 229.525575871 42.7458424664 12-193481 -0.3256724178791046 -0.08099356293678284 131.2224884033203 0 0 
7443-12704 232.461058488 42.6289684147 12-84731 -0.45079317688941956 -0.6341713070869446 49.18166732788086 0 0 
7495-3704 204.586284348 26.7597425957 12-129601 -0.02304706908762455 0.04921465367078781 0.9366838335990906 0 0 
7495-3701 203.943543846 26.1017908542 12-129446 -0.47978055477142334 -0.5452272295951843 9.994606971740723 0 0 
7495-3702 205.007987216 26.9788998689 12-192149 -0.43805941939353943 -0.4462868571281433 21.80889320373535 0 0 
7495-3703 205.243328349 27.7262765976 12-110756 -0.5300337672233582 -0.25459301471710205 24.25863265991211 0 0 
7495-6102 204.512859464 26.3382131885 12-192116 -1.147908091545105 0.5286879539489746 153.32781982421875 0 0 
7495-9101 204.884835757 27.1071467218 12-129610 -0.8918009996414185 0.09269606322050095 23.29457664489746 0 0 
7495-6104 204.692728548 26.4987690252 12-129534 -0.5165421962738037 -0.3212459683418274 8.223711967468262 0 0 
7495-9102 204.884524192 26.7775419978 12-129609 0.05827685818076134 0.3238239884376526 1.200284719467163 0 0 
7495-6101 203.783770335 25.4954419216 12-129434 -0.6413160562515259 -0.10807124525308609 23.191356658935547 0 0 
7495-6103 204.509161303 26.8911752878 12-129602 -0.6594911813735962 -0.03547456115484238 14.710175514221191 0 0 
7495-12705 205.609258111 26.5368707574 12-129629 0.02937004715204239 0.1324174404144287 1.2818992137908936 0 0 
7495-12704 205.438403156 27.0047536667 12-129618 -0.06393603980541229 0.11849894374608994 2.8068301677703857 0 0 
7495-12701 204.57951601 26.1984249967 12-192120 0.13077089190483093 0.3577090799808502 0.8090046048164368 0 0 
7495-12702 205.074820342 26.3495638698 12-129612 -0.2643554210662842 -0.2622632384300232 5.056862831115723 0 0 
7495-12703 206.470668116 26.775156621 12-129646 -0.41094309091567993 -0.621006190776825 9.007659912109375 0 0 
7815-1901 317.502202242 11.5106477077 1-113520 0.02159710042178631 0.7101197242736816 0.8875586986541748 0 0 
7815-3702 317.903201533 11.4969433994 1-113540 -0.3561645448207855 -0.6896825432777405 38.373382568359375 0 0 
7815-3704 319.233949063 9.63757525774 1-113651 -0.03818199038505554 0.011282531544566154 2.4133591651916504 0 0 
7815-3701 317.918280237 9.34565198917 1-113468 -0.06477072834968567 0.14470317959785461 2.111826181411743 0 0 
7815-6102 318.827736002 10.4968107833 1-113668 0.11407378315925598 0.4621017575263977 1.2238529920578003 0 0 
7815-6103 317.388736588 11.5029226993 1-113521 -0.39264652132987976 -0.5017296075820923 20.40469741821289 0 0 
8618-1902 318.026426419 11.3451572409 1-113567 -0.7574555277824402 0.050851866602897644 15.72933578491211 0 0 
7815-6101 316.541566803 10.3454195236 1-113379 -0.8437191247940063 0.22466391324996948 27.935853958129883 0 0 
7815-9101 316.639658795 10.7512221884 1-113375 -0.47066405415534973 -0.7005782723426819 14.549341201782227 0 0 
7815-9102 317.374745914 10.0519434342 1-113219 -0.6252822875976562 -0.03862583264708519 26.63603401184082 0 0 
8618-6101 318.990452837 9.54307564379 1-635503 -0.43249034881591797 -0.6557749509811401 17.05107879638672 0 0 
7815-12704 319.353761201 10.2316206875 1-113418 -0.4212650954723358 -0.4587569236755371 7.520581245422363 0 0 
7815-12703 316.964281103 11.2623177305 1-113403 -0.3489978611469269 -0.48062485456466675 10.171114921569824 0 0 
7815-12702 317.943526819 9.27749462963 1-113469 -0.627273678779602 -0.09249585121870041 13.081092834472656 0 0 
7991-1901 258.548475763 57.9760977732 1-24092 -0.5033407807350159 -0.38957786560058594 59.86263656616211 0 0 
7991-1902 258.027617964 57.5040078073 1-24099 0.2553695738315582 0.44337737560272217 0.28715214133262634 0 0 
7991-12704 261.321053643 56.9518773841 1-24368 -0.4532965421676636 -0.5601809024810791 14.194733619689941 0 0 
7991-12701 257.752216191 56.9353408648 1-595027 -0.2962535321712494 -0.4006823003292084 22.42032814025879 0 0 
7991-12703 258.960057196 57.3667530035 1-595093 0.1474561244249344 0.43926894664764404 1.5820566415786743 0 0 
7991-12702 258.846945724 57.4328813495 1-24145 0.2244829535484314 0.35078924894332886 0.8769823312759399 0 0 
7991-12705 261.115608768 56.2960102323 1-25937 0.015135777182877064 0.23098304867744446 1.4785208702087402 0 0 
7991-3704 260.228215186 57.0979557846 1-23891 0.1088547632098198 0.5321407318115234 1.3374508619308472 0 0 
7991-6103 257.833820012 56.9912523477 1-24006 -0.4691926836967468 -0.5751034617424011 26.474279403686523 0 0 
7991-9101 259.174725723 56.9277933688 1-23929 -0.42036136984825134 -0.5487802624702454 8.543152809143066 0 0 
7977-1902 332.481316937 12.8180504327 1-115128 -0.45119112730026245 -0.7300100326538086 14.211624145507812 0 0 
7977-3701 332.203447059 13.3647373417 1-115097 -0.18813276290893555 0.10171264410018921 3.012112617492676 0 0 
7977-3704 332.798726703 11.8007324019 1-114956 -0.17098289728164673 -0.012175038456916809 2.572462797164917 0 0 
7977-3702 331.080925269 12.9683778244 1-114928 0.16641804575920105 0.6528648734092712 0.5589728951454163 0 0 
7977-3703 333.052045245 12.205190661 1-115320 -0.44248875975608826 -0.6746279001235962 36.64830780029297 0 0 
7977-6103 331.802634213 13.2660525434 1-115085 -0.6046065092086792 -0.06422071903944016 16.88770294189453 0 0 
7977-9101 331.12290045 12.4426263785 1-596598 -0.4102778434753418 -0.3476850390434265 37.325904846191406 0 0 
7977-9102 332.83066426 12.1847175842 1-114980 -0.3222385048866272 -0.4155953526496887 12.707133293151855 0 0 
7977-12705 332.892838008 11.7959286635 1-596678 -0.23797641694545746 -0.2211102694272995 8.119266510009766 0 0 
7977-12701 332.602089837 11.7130772993 1-114955 -0.3659607470035553 -0.159206360578537 53.00457763671875 0 0 
