# the excluded, use_AGN is True, use_composite is False
plateifu ra dec z psf mangaid BPT_x BPT_y EW_Ha is_limit 
7443-1901 231.04260977 42.0687206283 0.0187596 2.58476 12-84620 -0.5413379669189453 -0.11032594740390778 27.059978485107422 0 
7443-3704 231.478756028 41.9097725983 0.0226546 2.58517 12-84617 -0.7691922187805176 0.2256012260913849 26.984806060791016 0 
7443-3701 230.574377642 42.2870203576 0.0178955 2.59615 12-193534 -0.7233773469924927 0.036273013800382614 18.46287727355957 0 
7443-6104 232.158068917 42.4420168074 0.075096 2.56751 12-84677 0.08369220048189163 0.5292975306510925 1.7673027515411377 0 
7443-12702 231.36070065 43.16989684 0.0575241 2.56343 12-84674 -0.40290123224258423 -0.4547961950302124 7.0258684158325195 0 
7443-12704 232.461058488 42.6289684147 0.0187385 2.53195 12-84731 -0.45072314143180847 -0.6315483450889587 49.2137336730957 0 
7443-6103 230.233668012 42.7755414901 0.0183422 2.55301 12-84665 -0.629422664642334 -0.050074901431798935 28.76422119140625 0 
7443-6102 231.606701762 42.3540265659 0.0280161 2.56171 12-180432 -0.44324567914009094 -0.7506697773933411 34.54107666015625 0 
7443-12703 229.525575871 42.7458424664 0.0402719 2.58227 12-193481 -0.3255615830421448 -0.07870680838823318 131.1680145263672 0 
7443-9101 229.246842913 42.5982571736 0.0404705 2.5978 12-84660 -0.29650554060935974 -0.24789419770240784 20.78297996520996 0 
7443-6101 231.577322945 41.2946303062 0.0309125 2.64578 12-84726 -0.6985213756561279 0.0430210642516613 15.171123504638672 0 
7443-12705 230.153021184 41.9604360155 0.0644735 2.62879 12-84627 -0.41584518551826477 -0.5922930240631104 9.314692497253418 0 
7495-3704 204.586284348 26.7597425957 0.030404 2.33701 12-129601 -0.025523986667394638 0.053556282073259354 0.9523084163665771 0 
7495-3701 203.943543846 26.1017908542 0.0670065 2.28876 12-129446 -0.48020410537719727 -0.5436233878135681 10.016288757324219 0 
7495-12704 205.438403156 27.0047536667 0.0289385 2.28379 12-129618 -0.06531056761741638 0.11622275412082672 2.813668727874756 0 
7495-3702 205.007987216 26.9788998689 0.027546 2.31901 12-192149 -0.43883490562438965 -0.44550079107284546 21.816104888916016 0 
7495-3703 205.243328349 27.7262765976 0.0285104 2.23731 12-110756 -0.529952883720398 -0.2551943063735962 24.269412994384766 0 
7495-12701 204.57951601 26.1984249967 0.0612091 2.31683 12-192120 0.12455296516418457 0.35910239815711975 0.8611520528793335 0 
7495-6102 204.512859464 26.3382131885 0.0261462 2.30097 12-192116 -1.1478314399719238 0.5284130573272705 153.35061645507812 0 
7495-9101 204.884835757 27.1071467218 0.0324076 2.3378 12-129610 -0.8932527899742126 0.09514094889163971 23.132503509521484 0 
7495-6104 204.692728548 26.4987690252 0.029503 2.36543 12-129534 -0.5160872936248779 -0.31579744815826416 8.206012725830078 0 
7495-12703 206.470668116 26.775156621 0.0298759 2.32552 12-129646 -0.40956294536590576 -0.6149004101753235 9.008007049560547 0 
7495-9102 204.884524192 26.7775419978 0.0289841 2.33459 12-129609 0.057953231036663055 0.338461697101593 1.2015600204467773 0 
7495-6101 203.783770335 25.4954419216 0.026744 2.38532 12-129434 -0.6412324905395508 -0.10476264357566833 23.15656280517578 0 
7495-6103 204.509161303 26.8911752878 0.0276816 2.13712 12-129602 -0.6606698036193848 -0.040769435465335846 14.742523193359375 0 
7495-12705 205.609258111 26.5368707574 0.0762428 2.2792 12-129629 0.02887294441461563 0.1564657837152481 1.2768505811691284 0 
7495-12702 205.074820342 26.3495638698 0.0284013 2.29147 12-129612 -0.26472944021224976 -0.26145613193511963 5.0550713539123535 0 
7815-1901 317.502202242 11.5106477077 0.0167652 2.60994 1-113520 0.02444503828883171 0.7109171152114868 0.8934326171875 0 
7815-3702 317.903201533 11.4969433994 0.0293823 2.5986 1-113540 -0.3558543920516968 -0.6872299909591675 38.36738967895508 0 
7815-9102 317.374745914 10.0519434342 0.0408897 2.61138 1-113219 -0.6248795986175537 -0.0376390777528286 26.623762130737305 0 
7815-3704 319.233949063 9.63757525774 0.0708847 2.56135 1-113651 -0.0395195335149765 0.005494944751262665 2.415839672088623 0 
8618-6101 318.990452837 9.54307564379 0.0293012 2.47686 1-635503 -0.43408340215682983 -0.6483780741691589 17.136499404907227 0 
7815-3701 317.918280237 9.34565198917 0.136342 2.64395 1-113468 -0.06879313290119171 0.1376890242099762 2.14816951751709 0 
7815-12704 319.353761201 10.2316206875 0.0430806 2.5223 1-113418 -0.41909244656562805 -0.45434150099754333 7.5046257972717285 0 
7815-6102 318.827736002 10.4968107833 0.129233 2.5154 1-113668 0.11763214319944382 0.46027299761772156 1.218630075454712 0 
7815-6103 317.388736588 11.5029226993 0.135043 2.58497 1-113521 -0.3934323191642761 -0.5016111731529236 20.39726448059082 0 
8618-1902 318.026426419 11.3451572409 0.0167432 2.40214 1-113567 -0.7601618766784668 0.05353013426065445 16.20186424255371 0 
7815-6101 316.541566803 10.3454195236 0.0171611 2.52582 1-113379 -0.8437921404838562 0.227065309882164 27.927343368530273 0 
7815-9101 316.639658795 10.7512221884 0.028215 2.63764 1-113375 -0.47158414125442505 -0.6995744109153748 14.545697212219238 0 
7815-12703 316.964281103 11.2623177305 0.0715126 2.59529 1-113403 -0.3498830497264862 -0.48271116614341736 10.21599292755127 0 
7815-12702 317.943526819 9.27749462963 0.0394617 2.62329 1-113469 -0.6273428201675415 -0.09242965281009674 13.092035293579102 0 
7991-3704 260.228215186 57.0979557846 0.0274682 2.44829 1-23891 0.11336374282836914 0.5297430157661438 1.3427540063858032 0 
7991-6101 257.582232587 56.7572501383 0.0328402 2.39335 1-24018 0.17674915492534637 -0.16078869998455048 0.31811556220054626 0 
7991-9101 259.174725723 56.9277933688 0.0283133 2.3978 1-23929 -0.421103298664093 -0.5446186661720276 8.549288749694824 0 
7991-6103 257.833820012 56.9912523477 0.0311171 2.33963 1-24006 -0.4694329500198364 -0.5678110122680664 26.474897384643555 0 
7991-12701 257.752216191 56.9353408648 0.0288967 2.40526 1-595027 -0.29591667652130127 -0.39475077390670776 22.412511825561523 0 
7991-1902 258.027617964 57.5040078073 0.0281658 2.32582 1-24099 0.2535238265991211 0.44340258836746216 0.2923535704612732 0 
7991-1901 258.548475763 57.9760977732 0.0926206 2.33637 1-24092 -0.47537872195243835 -0.3883677124977112 59.91817092895508 0 
7991-12705 261.115608768 56.2960102323 0.113153 2.31401 1-25937 0.016953926533460617 0.2316017597913742 1.4627060890197754 0 
7991-12702 258.846945724 57.4328813495 0.032202 2.38539 1-24145 0.22660841047763824 0.34786632657051086 0.8785833120346069 0 
7991-12704 261.321053643 56.9518773841 0.0250049 2.28028 1-24368 -0.45355719327926636 -0.5577288269996643 14.210466384887695 0 
7991-12703 258.960057196 57.3667530035 0.0300075 2.37061 1-595093 0.14862044155597687 0.4432750344276428 1.5648261308670044 0 
7977-3703 333.052045245 12.205190661 0.0275274 2.5984 1-115320 -0.44198352098464966 -0.6709385514259338 36.697853088378906 0 
7977-3704 332.798726703 11.8007324019 0.0270248 2.55104 1-114956 -0.18215122818946838 -0.009762060828506947 2.599076509475708 0 
7977-6103 331.802634213 13.2660525434 0.0349304 2.55448 1-115085 -0.6066644787788391 -0.060719139873981476 16.965898513793945 0 
7977-9101 331.12290045 12.4426263785 0.0265918 2.47756 1-596598 -0.414236843585968 -0.3426297903060913 37.17791748046875 0 
7977-9102 332.83066426 12.1847175842 0.0630915 2.55336 1-114980 -0.3242553472518921 -0.409312903881073 12.857975006103516 0 
7977-3701 332.203447059 13.3647373417 0.0274473 2.56917 1-115097 -0.18096385896205902 0.11240489780902863 2.9993739128112793 0 
7977-1902 332.481316937 12.8180504327 0.0358116 2.56662 1-115128 -0.4521530866622925 -0.7347704172134399 14.294641494750977 0 
7977-12704 332.418270109 13.6358085465 0.0273857 2.54794 1-636015 -0.09713410586118698 -0.13183805346488953 12.99612808227539 0 
7977-12701 332.602089837 11.7130772993 0.0922799 2.61695 1-114955 -0.3653491735458374 -0.1553870141506195 51.937740325927734 0 
7977-3702 331.080925269 12.9683778244 0.0273478 2.65071 1-114928 0.1698971539735794 0.6776913404464722 0.567230761051178 0 
7977-12705 332.892838008 11.7959286635 0.0269487 2.57734 1-596678 -0.24198810756206512 -0.20689189434051514 8.129334449768066 0 
7977-12703 333.201842347 13.334120927 0.0738627 2.56603 1-115162 -0.11740275472402573 -0.05778372660279274 3.046992063522339 0 
7979-3703 333.791087605 14.0417736019 0.0277136 2.48661 1-115403 -0.427883505821228 -0.499479204416275 7.743987560272217 0 
7979-6102 334.241505868 13.5430726487 0.0261702 2.46656 1-115435 0.03755483031272888 0.3633483350276947 1.3703862428665161 0 
7979-6103 333.343965404 14.0070573057 0.0265697 2.49231 1-115354 -0.4314189851284027 -0.7565160393714905 6.489392280578613 0 
7979-12701 333.483204009 13.755395826 0.0253792 2.40066 1-115365 -0.21826162934303284 -0.23862189054489136 18.225341796875 0 
7979-1902 334.060493665 12.3955245423 0.0679362 2.45906 1-115262 -0.38531258702278137 -0.5789998173713684 21.291810989379883 0 
7979-9101 333.97282579 12.7245811567 0.0675986 2.48153 1-115277 0.10067252069711685 0.6710424423217773 2.013416051864624 0 
7979-9102 333.863494923 12.9175093175 0.0686091 2.44585 1-115275 0.1937539279460907 0.5561708211898804 0.6327420473098755 0 
7979-12704 333.969214314 14.0794360744 0.02536 2.45385 1-115398 -0.37137413024902344 -0.18705233931541443 15.519807815551758 0 
7979-12705 334.553074094 12.8353142957 0.0274572 2.48255 1-115232 -0.5365691781044006 -0.172868013381958 16.224205017089844 0 
7975-9102 324.548678082 12.1942577854 0.0220849 2.59617 1-114500 -0.4660312533378601 -0.4837651550769806 27.778671264648438 0 
7975-3704 324.833648832 10.54076696 0.0766043 2.5504 1-550578 0.06544458121061325 0.5167987942695618 1.1708604097366333 0 
7975-1902 324.259707865 11.9062032693 0.0222473 2.54764 1-114334 -0.2962867021560669 0.2066568285226822 2.734565496444702 0 
7975-12704 324.586417578 11.3486728499 0.0888606 2.55792 1-114454 -0.21481989324092865 -0.17845013737678528 21.47785758972168 0 
