name        L_OIII delta distance scale
ESO417-G6   38.30  -3.5  63.89    310
Fairall316  35.91  -2.9  63.63    308
CGCG420-015 39.71  -4.0  115.4    570
IC1816      39.13  -4.3  67.81    328
IRAS11215-2806 41.39  -8.5  53.96 262
MCG-05-27-13 40.94  -5.3  277.8   470
Mrk1210 38.02  -3.7  52.13    253
Mrk607 36.31  -2.1  36.21    176
NGC1358 37.73  -3.4  53.07    257
NGC1386 35.92  -2.9  9.88     48
NGC3081 37.12  -3.0  28.85    140
NGC5135 37.16  -2.5  52.79    256
NGC5643 36.33  -2.2  14.21    69
NGC6300 35.79  -2.8  14.80    63
NGC6890 37.03  -3.1  40.71    159
NGC7130 38.50  -3.1  64.67    314
NGC7582 36.42  -2.5  20.68    100
Mrk348 38.65  -4.4  62.25    302
