# AGNs_file: data/AGNs-2018-04-26.dat
# Using datacube fitting map to calculate the L[O III] 5007
plateifu LO3 LO3_err_low LO3_err_up LO3_redcorr LO3_redcorr_err_low LO3_redcorr_err_up outflow_strength outflow_strength_err
7495-1902 39.56336296346752 0.0010447198486210698 0.0012314405762298404 39.61264391622915 0.09470564148866494 0.487900378038235 0.0008122011988123615 0.000642647513874855
7815-6104 42.50973134777506 7.344580260656296e-05 7.510125187296896e-05 42.614587095561824 0.01732007700436971 0.48294102174753645 0.2109876083165601 0.0001564459240877599
7991-6104 40.31415333909951 0.0004581809592174227 0.0004581809592174227 40.645239706490386 0.09353228030153601 0.43429448190325176 0.0286413028767007 0.0007636506858569798
7991-3702 39.926309813304755 0.0010779933114564105 0.0010966975162226853 40.308658083675425 0.06260460565451664 0.44809692193168954 0.0938982167901008 0.0022476773934786694
8132-6101 41.14247281005845 0.001795307158512458 0.0018292539364707975 41.65982100451615 0.08428791909194677 0.46596563172221594 0.2444263380045781 0.00462874207730299
8247-6101 39.61327875512109 0.0014011327045756682 0.0019212646799609875 39.869458125736344 0.07374977902508748 0.7345249185855782 0.01744578796203012 0.0013569868259914867
8137-3702 41.75490205015135 0.000530421695151633 0.0005324998327821049 41.99049666112112 0.053102526386765034 0.4372513422445003 0.06841615271027977 0.0010238132690531918
8141-1901 40.69349218506319 0.0002939021465519905 0.0002940147295303942 40.975707558238106 0.041315930622157 0.4343640687693095 0.02276235441258634 0.0004128657153980654
8143-6101 41.81004097664833 0.000449541749720499 0.00045959709853777864 42.11599376863103 0.06427587482419164 0.4576806545347374 0.1051929363396064 0.0009196230157252742
8256-12704 41.68563552473129 0.0005981780457404721 0.00060507060576204 41.83331240699468 0.03603815316930024 0.44208517554989407 0.19011498562256457 0.0013858065083836007
8249-3704 40.21451381160702 0.0007476672274614599 0.0007727630906628951 40.85675733014484 0.29893740004295405 0.4387200393078299 0.13067125094470336 0.001626331713748115
8319-12705 39.97730368702481 0.0036474893775351683 0.004345213937007233 40.628937641506354 0.11861552897480934 0.7994490990955673 0.27944176480072835 0.010506019894157705
8341-12704 40.70080738108053 0.00040337079405044 0.0004542023766195935 40.85327591236867 0.033343400141862475 1.011786420837191 0.45848937550567553 0.001649438930953598
8439-6104 40.19183296736363 0.0015787121732376316 0.0015891512500321673 40.60768789765524 0.1373004923032224 0.43609673380672137 0.10613293826948722 0.0029583995131067286
8452-1901 40.073779218496746 0.00048628217252439385 0.0004931972643675848 40.07986566619522 0.0726782210848866 0.4358120593544179 0.002196373253826854 0.00026495903590405083
8483-12703 40.240141213531835 0.0011426028268140447 0.0011462122261806772 40.238972722785746 93.49401080041848 0.4360748233665272 0.0 0.0
8482-12704 40.68412189130858 0.0015346237721215526 0.0015347403526643239 40.8214632342728 20.49215950758693 0.4343907845852681 0.06781666118999594 0.002730453358779533
