name z seeing L_OIII L_err R_obs R_int
J014932.53-004803.7 0.566 0.52 42.87 0.13 7.4  6.9 
J021047.01-100152.9 0.540 0.58 43.48 0.10 17.8 14.4
J031909.61-001916.7 0.635 0.38 42.74 0.16 7.9  6.7
J031950.54-005850.6 0.626 0.58 42.96 0.11 11.2 9.6
J032144.11+001638.2 0.643 0.54 43.10 0.11 19.3 16.6
J075944.64+133945.8 0.649 0.61 43.38 0.08 15.4 12.9
J084130.78+204220.5 0.641 0.52 43.31 0.10 11.8 10.0
J084234.94+362503.1 0.561 0.46 43.56 0.14 14.4 13.1
J085829.59+441734.7 0.454 0.60 43.30 0.06 11.5 10.6
J103927.19+451215.4 0.579 0.58 43.29 0.13 11.4 9.3
J104014.43+474554.8 0.486 0.74 43.52 0.09 14.5 13.0
J022412.30+275011.5 0.311 0.52 42.83 0.25 19.4 10.1
J080754.50+494627.6 0.575 0.63 43.27 0.16 19.2 14.6
J110140.54+400422.9 0.457 0.63 43.55 0.09 19.3 18.7

