name z seeing L_OIII R_obs R_int vLv8um
J023342.57-074325.8 0.4538 0.42 43.13 12.4 10.7 45.05
J030422.39+002231.8 0.6385 0.47 42.82 8.2  7.9  45.91
J031154.51-070741.9 0.6330 0.60 42.94 8.7  7.9  45.84
J041210.17-051109.1 0.5492 0.39 43.50 13.1 11.1 45.79
J075352.98+315341.6 0.4938 0.51 42.62 6.3  5.2  44.63
J080954.38+074355.1 0.6527 0.48 43.25 11.2 10.2 45.66
J084702.55+294011.0 0.5662 0.60 42.71 8.6  7.4  44.98
J090902.21+345926.5 0.5749 0.63 43.12 11.4 9.7  45.62
J092423.42+064250.6 0.5884 0.48 42.95 7.9  7.7  45.55
J093532.45+534836.5 0.6864 0.70 43.20 11.7 11.0 45.26
J114417.78+104345.9 0.6785 0.54 43.30 13.0 12.4 45.24
J221452.10+211505.1 0.4752 0.45 42.78 7.1  5.8  45.08
