# log(L[OIII]) log(L[OIII])_err log(R16) log(R16)_err is_limit
40.5128 0.0000 3.5992 0.0000 0
39.7379 0.0000 3.1133 0.0000 0
40.6909 0.0000 3.7552 0.0000 0
40.1301 0.0000 3.4963 0.0000 0
38.7671 0.0000 3.0247 0.0000 0
40.6669 0.0000 3.3832 0.0000 0
40.1455 0.0000 3.4371 0.0000 0
41.2030 0.0000 3.7170 0.0000 0
40.3033 0.0000 3.4794 0.0000 0
39.7479 0.0000 3.1133 0.0000 0
40.4142 0.0000 3.4736 0.0000 0
41.1555 0.0000 3.7818 0.0000 0
41.0491 0.0000 3.6487 0.0000 0
39.8076 0.0000 3.0713 0.0000 0
40.3017 0.0000 3.3378 0.0000 0
41.1276 0.0000 3.8698 0.0000 0
40.6381 0.0000 3.4851 0.0000 0
39.8284 0.0000 3.3535 0.0000 0
