# log(L[OIII]) log(L[OIII])_err log(R16) log(R16)_err is_limit
39.6564 0.2926 3.0437 0.1000 1
42.6151 0.2501 3.9546 0.0436 0
40.6063 0.2506 3.2615 0.1000 1
40.4314 0.2491 3.0608 0.1180 0
41.7243 0.2752 3.8731 0.1000 1
39.9276 0.4108 3.0311 0.1081 0
42.0036 0.2452 4.0148 0.0669 0
40.9711 0.2371 3.4678 0.0561 0
42.1203 0.2610 3.9976 0.1632 0
41.8358 0.2390 3.7608 0.1025 0
40.8796 0.3224 3.4412 0.1757 0
40.6221 0.4590 3.5214 0.1000 1
40.7687 0.2832 3.3098 0.1774 0
40.0402 0.2538 3.0488 0.1098 0
41.1280 0.3233 3.3932 0.0832 0
41.0652 0.2753 3.9564 0.2925 0
40.4600 0.2650 3.4595 0.1000 1
40.2451 0.2736 3.0224 0.1195 0
41.7778 0.2743 3.9203 0.0763 0
42.5409 0.2395 3.9181 0.0858 0
40.2293 0.3153 3.1720 0.1000 1
40.3910 0.2868 3.2407 0.1000 1
40.9494 0.3104 3.1901 0.3200 0
39.8483 0.2638 3.0496 0.1412 0
40.1337 0.3765 3.1945 0.1000 1
41.6867 0.2900 3.8388 0.1904 0
39.7612 0.2598 2.9698 0.1813 0
41.6838 0.2513 3.6677 0.1000 1
40.7074 0.3105 3.2630 0.2195 0
40.2719 0.2940 3.1328 0.0925 0
40.5256 0.4202 3.4052 0.1000 1
40.3811 0.3895 3.4124 0.1000 1
40.1779 0.3184 3.1186 0.2153 0
40.0298 0.3833 3.2352 0.1000 1
41.0328 0.3776 3.4577 0.1000 1
40.8731 0.3199 3.4778 0.1000 1
41.1208 0.3359 3.5035 0.1000 1
40.8605 0.3075 3.5663 0.2209 0
42.5006 0.2249 3.8847 0.0615 0
40.8477 0.3779 3.2804 0.1467 0
41.1336 0.3166 3.7935 0.3571 0
41.4839 0.4474 3.4462 0.1000 1
40.5083 0.2467 3.3452 0.0564 0
41.3676 0.2953 3.4219 0.1063 0
40.0448 0.3261 2.9026 0.2639 0
41.1075 0.3296 3.5858 0.1000 1
40.8960 0.2599 3.4800 0.1000 1
40.9695 0.2477 3.2696 0.1384 0
40.2975 0.3151 3.3724 0.1000 1
40.9059 0.2936 3.3747 0.1000 1
42.0642 0.4143 3.8308 0.1187 0
40.7211 0.2701 3.3281 0.1059 0
41.1339 0.2489 3.3233 0.0760 0
41.5689 0.2417 3.3697 0.1931 0
40.6195 0.3143 3.3753 0.1071 0
40.6351 0.2893 3.3819 0.2406 0
41.1792 0.3308 3.4079 0.1000 1
39.9911 0.4432 3.2889 0.3399 0
