plateifu logR_fsb1 logR_fsb1_err logR_fsb2 logR_fsb2_err logR_fsb2_orig logR_fsb2_orig_err is_limit agn_fraction agn_pixels excess
7495-1902 3.0436671685906425 0.12875717812836793 3.0985158365979877 0.1 2.406845071003468 0.1 1 0.4444444444444444 64 0
7815-6104 4.007560677497659 0.035096352398449736 4.015783955418089 0.03687238635478133 3.9545935991342858 0.04361129042611608 0 0.6081967213114754 742 1
7991-6104 3.261509296605495 0.06918995187122948 3.243025890911482 0.1 2.9904425243189574 0.1 1 1.0 153 0
7991-3702 3.228926761742511 0.07044795099616091 3.200045970387527 0.08167404592091054 3.060845028158181 0.11803508474321611 0 0.8114035087719298 185 0
8132-6101 3.873138042226595 0.07580812118065143 3.9700480552346518 0.1 2.9305395139509782 0.1 1 0.4461538461538462 174 0
8247-6101 3.1485440010977883 0.07792566646502716 3.1803271908700586 0.07681994837701721 3.0310853015156503 0.10807607231078135 0 0.281661600810537 278 0
8137-3702 4.079520194118983 0.048048577688353813 4.091973354185834 0.05197468383272205 4.014843764179034 0.06690255522761522 0 0.9495412844036697 414 0
8141-1901 3.4918061457488467 0.04509587179689072 3.505375460085559 0.049851557449877355 3.467780840154603 0.05612637196948558 0 0.9970414201183432 337 0
8143-6101 4.0846514883555125 0.04545135727276711 4.04830013166585 0.11550321374770409 3.9975699332896157 0.16322785704950726 0 0.6926406926406926 480 0
8256-12704 3.9196904760853633 0.0664223537963803 3.9042783484993193 0.07057996475985226 3.7608231743435576 0.10252517517319808 0 0.8859315589353612 233 0
8249-3704 3.4452684050274436 0.04312051843826623 3.461570547361714 0.1234550966453738 3.4411523737998286 0.1757195707092321 0 0.9090909090909091 490 0
8319-12705 3.521416618596902 0.0813203230284429 3.5107367079121046 0.1 3.3190513635075276 0.1 1 0.08009708737864078 66 1
8341-12704 3.3003649948071088 0.0680424112060481 3.393433679618867 0.07978681676922797 3.130172300396801 0.18503812695208025 0 0.07126348228043143 185 1
8439-6104 3.4057514916401868 0.0664223537963803 3.456442875063812 0.09471275564980444 3.309768078953154 0.17737156005618848 0 0.9372294372294372 433 1
8452-1901 3.182004725750721 0.0759732804860559 3.153248281184812 0.08392603904498375 3.0488097238464853 0.10982835311673966 0 0.9653679653679653 223 0
8483-12703 3.3656641890035357 0.11158955437791887 3.365664189003536 0.11158955437791931 3.1785775456463914 0.17167623750449057 0 0.8305084745762712 98 0
8482-12704 3.535902479979946 0.07801283164004397 3.530033546315848 0.07907423070997655 3.3311991601216073 0.12498830015447948 0 0.9938650306748467 162 0
8549-12701 3.480574195603932 0.06209354655110338 3.5217015132864598 0.05957556869578009 3.3932352806059525 0.08320284854567091 0 0.36180499597099114 449 0
8465-12704 3.8662417668096163 0.033803019479243884 3.9619633744078486 0.2552258846272069 3.9564443123115844 0.292486635786402 0 0.7950530035335689 450 0
8552-12701 3.3004510823542237 0.06356367021527023 3.5640582735751574 0.2923728083760502 3.505651225762107 0.36660364359449726 0 0.25840179238237493 346 1
8552-9102 3.4594708936520533 0.1859825906298648 3.4594708936520533 0.1 3.25212194086593 0.1 1 0.808695652173913 93 0
