plateifu logR_fsb1 logR_fsb1_err logR_fsb2 logR_fsb2_err logR_fsb2_orig logR_fsb2_orig_err is_limit agn_fraction agn_pixels excess
7495-1902 2.966145356296795 0.1539193647573674 2.966145356296795 0.1 2.1607957525432626 0.1 1 0.4375 63 0
7815-6104 3.946428325370029 0.04040120646468188 3.94642832537003 0.040401206464682766 3.94642832537003 0.040401206464682766 0 0.6057377049180328 739 1
7991-6104 3.257614252721971 0.06981328477097028 3.257614252721971 0.1 3.257614252721971 0.1 1 1.0 153 1
7991-3702 3.2129217455289054 0.07309259522817806 3.2102147646670005 0.07790970297639495 3.00534637590005 0.1316706951218677 0 0.8114035087719298 185 0
8132-6101 3.8315171016889584 0.08343277215965504 3.8315171016889584 0.1 2.8215643045377408 0.1 1 0.45789473684210524 174 0
8247-6101 3.1415951289134973 0.07918253428281252 3.141068978958633 0.08532554793997747 3.0048712926370973 0.1241141276745044 0 0.2768472906403941 281 0
8137-3702 4.028887255913616 0.05399001829265491 4.024758024018016 0.061434436217155775 3.928770067819923 0.08257601199157116 0 0.9375 420 0
8141-1901 3.4828266115510482 0.04603798651291138 3.504992704002209 0.05220978361184252 3.4686340725591425 0.057844451304489584 0 1.0 343 0
8256-12704 3.91031081783973 0.06787251150288058 3.930300303194382 0.07463078696819743 3.822309218305092 0.105943844090361 0 0.9022556390977443 240 0
8143-6101 4.056282946994994 0.048519397362811724 4.0508298609487925 0.09147066697830808 3.9863593017121866 0.10965406436383346 0 0.6983002832861189 493 0
8249-3704 3.418857868902012 0.04582415970248911 3.423967490889682 0.10367910334444574 3.3683017604389427 0.1332763913586641 0 0.8987341772151899 497 0
8319-12705 3.4293151492272 0.10053113007019719 3.4293151492272 0.1 3.330209452673061 0.1 1 0.08079625292740047 69 1
8341-12704 3.289206617641318 0.06981328477097028 3.289206617641318 0.06981328477097028 2.9940929199740554 0.20533705724744095 0 0.07217651458489155 193 1
8329-3701 3.3660771094557975 0.1698358309118862 3.383214679364976 0.1695239632918575 2.2510404651707994 1.3508501247449067 0 0.379746835443038 60 0
8439-6104 3.416572134357723 0.06478785757961635 3.407880126814799 0.07046694485781743 3.246772218935805 0.11478358209911471 0 0.9369565217391305 431 0
8452-1901 3.1719920624884907 0.07774519240180061 3.1719920624884907 0.1 3.005696920296371 0.1 1 0.9659574468085106 227 0
8483-12703 3.331488209253228 0.12072564184272706 3.335893196549822 0.12672862764839166 3.1454949363134603 0.20764009825375915 0 0.8360655737704918 102 0
8482-12704 3.450262079769929 0.09501812189962458 3.450975879084014 0.09784342097860796 3.2337903162629402 0.1637931024340559 0 1.0 164 0
8549-12701 3.4889260390999604 0.06091084471096894 3.494504917935674 0.06677728234230544 3.4148849041820024 0.08463827880162414 0 0.35873015873015873 452 0
8465-12704 3.869758671412437 0.03353038893732396 3.8756184047072826 0.1643641131574858 3.8540486542320473 0.19849019875949364 0 0.7903225806451613 441 0
8552-9102 3.371058507800463 0.2279736637162743 3.371058507800463 0.1 3.1493617140394687 0.1 1 0.831858407079646 94 0
8552-12701 3.180540729673408 0.08377594172516432 3.180540729673408 0.1 3.034446203079088 0.1 1 0.25252525252525254 350 1
8318-3704 3.158687087776826 0.077042845431927 3.162843307287971 0.08350904257110109 2.9796615766109245 0.1361757139407114 0 0.8719211822660099 177 0
8318-6102 3.8879289455306374 0.07309259522817806 3.9004581895949753 0.08008107240468966 3.7645956988638813 0.11861398854020602 0 0.735966735966736 354 0
8464-6101 4.03656626029958 0.05054424798607884 4.054662419356944 0.048481447757620026 4.032337589542738 0.06495169326075072 0 0.936 351 1
8320-3704 3.1596558349819857 0.0855209301550009 3.1596558349819857 0.1 2.8764332784080486 0.1 1 0.1685575364667747 104 0
8550-3704 3.375897514549068 0.05623793779059834 3.3646632981262004 0.07589643042929231 3.303730359507691 0.09316202896542647 0 0.45794392523364486 294 0
8606-12701 3.564995953256296 0.07662699892780303 3.5290233378160387 0.08979012594227528 3.086093384872577 0.33033697421770636 0 0.11761426978818283 211 0
8611-3704 3.1130644133489116 0.10053113007019719 3.1130644133489116 0.1 2.7847097983578846 0.1 1 0.16920731707317074 111 1
7992-9102 3.8238683165585203 0.07853994536734156 3.8238683165585203 0.1 3.756934616721534 0.1 1 0.4320388349514563 178 1
8603-6101 3.1115028886586202 0.1079666145416574 3.1126160271226837 0.11572130569043797 2.9011366651519435 0.2025357099650213 0 1.0 182 0
8612-12702 3.3259899460934403 0.1324052065881419 3.3347685586290465 0.13728508116751192 2.227740785085591 2.3059778028240197 0 0.026818366517675742 66 0
8612-12704 3.6471649063140243 0.03458899903993605 3.815730615523366 0.15627891205292102 3.797305069197281 0.17308606384222927 0 0.7530864197530864 915 0
8588-12704 3.2894623622809775 0.06981328477097028 3.289462362280978 0.06981328477097072 3.2118047127268494 0.1437370077245229 0 0.20460358056265984 240 1
8602-12701 3.2599114387645245 0.06598474958654116 3.2199922708761988 0.08159931128507118 3.1028332068261073 0.11145311189701526 0 0.4109347442680776 466 0
8077-6103 3.3219377122796483 0.10053113007019719 3.3219377122796483 0.1 3.1758498871918657 0.1 1 0.07077625570776255 62 1
8147-6102 3.368421433216792 0.12014153388091856 3.368421433216792 0.1 2.2342779639667487 0.1 1 0.08437856328392246 74 0
8146-12705 3.200820417562476 0.17812010755675495 3.229467944425604 0.18141519973782128 3.0152534079479927 0.31541137881233755 0 0.46846846846846846 156 0
8084-6103 3.2258311821414876 0.09501812189962458 3.2258311821414876 0.1 2.873767420444242 0.1 1 0.4491525423728814 106 0
8718-12702 3.3173430787939213 0.08377594172516432 3.3173430787939213 0.1 3.2606271438539625 0.1 1 0.17642642642642642 235 1
8718-12701 3.3450700333245162 0.10053113007019719 3.3450700333245162 0.1 3.278139998559047 0.1 1 0.14666666666666667 143 1
8725-9102 3.3375483905083083 0.10053113007019719 3.3375483905083083 0.1 3.3375483905083083 0.1 1 0.16058394160583941 110 1
