# 1 is converge
# 0 is not
# 2 is converge but reach the edge
# -1 unkown error
plateifu is_converge
7495-1902 3
7815-6104 1
7991-6104 2
7991-3702 1
8132-6101 3
8247-6101 1
8137-3702 1
8141-1901 1
8256-12704 1
8143-6101 1
8249-3704 1
8319-12705 0
8341-12704 2
8329-3701 3
8439-6104 1
8452-1901 1
8483-12703 1
8482-12704 1
8549-12701 1
8465-12704 1
8552-9102 2
8552-12701 2
8318-3704 2
8318-6102 1
8464-6101 1
8320-3704 1
8550-3704 2
8606-12701 0
8611-3704 0
7992-9102 2
8603-6101 1
8612-12702 3
8612-12704 1
8588-12704 3
8602-12701 1
8077-6103 3
8147-6102 3
8146-12705 1
8084-6103 2
8718-12702 2
8718-12701 2
8725-9102 3
10001-6102 2
8715-3702 2
8255-6101 0
8241-6102 2
8241-9102 0
8720-1901 1
8547-12701 1
8978-9101 3
8978-12705 0
8978-6102 2
8979-6102 0
8948-12704 2
8946-3701 2
8947-3701 1
8945-3703 1
8597-3703 2
9026-9101 0
9049-1901 1
9002-12702 2
9031-1902 1
9027-12704 1
8982-3703 2
7972-6103 1
9025-12704 1
7958-9101 1
9195-3703 2
8080-12703 1
9182-6102 2
9193-12701 1
8940-12702 1
9183-3703 1
8993-12705 1
8992-3702 0
9485-12705 2
9487-3702 3
8989-3703 2
8984-9102 3
8983-12701 2
8311-6104 0
8309-12701 2
9507-12704 0
9507-12705 1
9508-12704 2
9508-3704 3
9024-12705 0
9488-3702 0
9502-12703 2
8990-12705 1
8990-9101 3
8442-9102 2
9048-1902 1
9095-12701 2
9196-12703 2
9881-1901 3
