# AGNs_file: data/AGNs-2019-04-26.dat
# morphology related data
plateifu shape agn_type radio_loudness
7495-1902 bi-conical 2 0.0
7815-6104 round 1 1.805634858451546
7991-6104 bi-conical 2 0.0
7991-3702 round 2 0.0
8132-6101 round 2 0.0
8247-6101 conical 2 0.3276793569244804
8137-3702 round 2 0.0
8141-1901 round 2 0.0
8143-6101 bi-conical 2 8.2730452185776
8256-12704 round 2 1.2226575009156442
8249-3704 round 2 2.2625447960365634
8319-12705 bi-conical 2 0.0
8341-12704 bi-conical 1 0.4853085450216957
8439-6104 conical 2 1.9150167824280557
8452-1901 conical 2 0.0
8483-12703 bi-conical 2 0.0
8482-12704 conical 2 24.95274212943949
8549-12701 conical 2 1.126799604574105
8465-12704 bi-conical 2 2.0564875670470686
8552-12701 bi-conical 2 0.0
8552-9102 conical 2 0.0
8318-3704 conical 2 1.4070156918049859
8318-6102 conical 1 11.834024809199253
8464-6101 conical 2 8.352210429279522
8320-3704 conical 2 0.0
8550-3704 bi-conical 2 0.4327366259896952
8606-12701 round 2 0.0
8314-3704 round 2 0.0
8611-3704 round 2 0.6684954575478507
7992-9102 bi-conical 2 1.3025788374936722
8603-6101 conical 2 20.483772620760504
8612-12704 bi-conical 2 1.0972089975016548
8588-12704 bi-conical 2 0.28345680887252434
8602-12701 bi-conical 2 0.12822524428017884
8077-6103 bi-conical 2 0.0
8147-6102 round 2 0.0
8146-12705 bi-conical 2 0.0
8084-6103 bi-conical 2 0.9621148246184982
8718-12702 bi-conical 1 0.8297786796556054
8718-12701 bi-conical 2 0.0
8725-9102 bi-conical 1 0.0
10001-6102 round 2 0.46723749620968946
8715-3702 round 1 33.51122320650723
8255-6101 bi-conical 2 1.93762740322305
8241-9102 bi-conical 2 3.616361225289357
8241-6102 round 1 2.1020155704498573
8720-1901 round 2 0.0
8547-12701 bi-conical 2 1.1693667840630042
8978-12705 conical 2 0.0
8978-6102 round 2 0.6539495617389619
8978-9101 conical 2 0.0
8979-6102 round 2 0.0
8948-12704 bi-conical 2 1.4068061346536764
8946-3701 bi-conical 2 0.0
8947-3701 bi-conical 2 0.0
8945-3703 conical 2 0.0
8597-3703 bi-conical 2 0.8984056994755416
9026-9101 bi-conical 2 0.3639594379390663
9049-1901 bi-conical 2 8.35110234088866
9002-12702 conical 2 0.0
9031-1902 round 2 0.0
9027-12704 bi-conical 2 0.7205409690112448
8982-3703 round 2 49.43873449722788
7972-6103 bi-conical 2 20.07016451790282
