# Number of DRPComplete entries: 4690
# Number of unique MaNGA IDs: 4620
# Maximum number of repeated observations: 4
#
#  MANGAID PLT1  IFU1 PLT2  IFU2 PLT3  IFU3 PLT4  IFU4
  1-113375 7815  9101 7972 12704   -1    -1   -1    -1
  1-113379 7815  6101 7972  3701   -1    -1   -1    -1
  1-113469 7815 12702 7972 12705   -1    -1   -1    -1
  1-113525 7815  1902 8618  6103 7972  9102   -1    -1
  1-113567 7815 12701 8618  1902   -1    -1   -1    -1
  1-134760 8555 12701 8600  9102   -1    -1   -1    -1
  1-137801 8247  3702 8249  3701   -1    -1   -1    -1
  1-137845 8250  9101 8249  6104   -1    -1   -1    -1
  1-137853 8250  3702 8249 12705   -1    -1   -1    -1
  1-149686 8997 12701 8996 12705   -1    -1   -1    -1
  1-166754 8459  3704 8461 12703   -1    -1   -1    -1
  1-166919 8459  3702 8461  3704   -1    -1   -1    -1
  1-166932 8459  3701 8461  6104   -1    -1   -1    -1
  1-167356 8456  6104 8454  6103   -1    -1   -1    -1
  1-177236 7958  1901 9185  1901   -1    -1   -1    -1
  1-177250 7958  3703 9185  3702   -1    -1   -1    -1
  1-178442 7962  6101 9085  3703   -1    -1   -1    -1
  1-178443 7962  6104 9085  3704   -1    -1   -1    -1
  1-178473 7962  3701 9085  3701   -1    -1   -1    -1
  1-209770 9031  6102 9036  6104   -1    -1   -1    -1
  1-209772 9031  3704 9036  3703   -1    -1   -1    -1
  1-209786 9031  3701 9036  1901   -1    -1   -1    -1
  1-209823 9031 12701 9036 12703   -1    -1   -1    -1
  1-210186 9031 12705 9036  6101   -1    -1   -1    -1
  1-210604 8600  3702 8979 12704   -1    -1   -1    -1
  1-210611 8600  1902 8979  3703   -1    -1   -1    -1
  1-210700 8603 12701 8588  3701   -1    -1   -1    -1
  1-211017 8312 12703 8550  9102   -1    -1   -1    -1
  1-235398 8326 12701 8325 12703   -1    -1   -1    -1
  1-235530 8329  1901 8326  3701   -1    -1   -1    -1
  1-255691 8256  6102 8274  6102 8451  3702   -1    -1
  1-255959 8256  9102 8274  9102   -1    -1   -1    -1
  1-256048 8256  6103 8274  6103 8451  6102   -1    -1
  1-256104 8256  9101 8274  9101 8451  9101   -1    -1
  1-256456 8256 12703 8274 12703 8451 12704   -1    -1
  1-256457 8256  1902 8274  1902 8451  1902   -1    -1
  1-258311 8261  1901 8262  1901   -1    -1   -1    -1
  1-266074 8329  3703 8333 12704   -1    -1   -1    -1
  1-277103 8256  6101 8274  6101 8451  6101   -1    -1
  1-277154 8256  1901 8274  1901   -1    -1   -1    -1
  1-277159 8256  3702 8274  3702   -1    -1   -1    -1
  1-277161 8256  3701 8274  3701   -1    -1   -1    -1
  1-277162 8256 12702 8274 12702   -1    -1   -1    -1
  1-277691 8256 12701 8274 12701   -1    -1   -1    -1
  1-277858 8256  3703 8274  3703 8451  3703   -1    -1
  1-278485 8256  3704 8274  3704 8451  3704   -1    -1
  1-456757 8479  3703 8480  3701 8953  3702 9051  6103
  1-548221 8567 12702 8239  6104   -1    -1   -1    -1
  1-558910 8256  6104 8274  6104 8451  6103   -1    -1
  1-558912 8256 12704 8274 12704 8451 12701   -1    -1
  1-561017 7960 12702 9185  3704   -1    -1   -1    -1
  1-569225 8329  3701 8333 12701   -1    -1   -1    -1
  1-587938 8256 12705 8274 12705 8451 12702   -1    -1
  1-592881 8329  3704 8333  3702   -1    -1   -1    -1
  1-635503 7815 12705 8618  6101   -1    -1   -1    -1
   1-93876 8555  3704 8484  9101   -1    -1   -1    -1
